,id,ppage,gender,educ,race,cat,voting_imp,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,difficulty,need_change
323,470476,66,Female,College,Black,always,1,,,,,,,,,,1,1
324,470477,65,Male,High school or less,White,always,1,,,,,,,,,,1,2
325,470478,69,Male,College,White,sporadic,1,,,,,,,,,,1,2
326,470480,77,Male,High school or less,Hispanic,sporadic,1,,,,,,,,,,3,1
327,470481,71,Male,College,White,always,1,,,,,,,,,,1,1
328,470482,54,Male,High school or less,White,sporadic,2,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1
329,470483,67,Male,Some college,White,always,1,,,,,,,,,,1,2
330,470484,62,Female,Some college,White,always,1,,,,,,,,,,1,2
331,470485,46,Male,College,Other/Mixed,rarely/never,1,,,,,,,,,,1,1
332,470487,58,Male,College,White,always,1,,,,,,,,,,1,2
333,470488,67,Female,Some college,Black,sporadic,1,,,,,,,,,,1,1
334,470489,42,Male,College,Black,sporadic,1,,,,,,,,,,1,1
335,470490,63,Male,College,White,rarely/never,1,,,,,,,,,,2,1
336,470491,57,Female,College,White,always,1,,,,,,,,,,1,1
337,470492,86,Female,Some college,White,always,1,,,,,,,,,,1,1
338,470495,61,Male,High school or less,White,sporadic,1,,,,,,,,,,1,1
339,470496,67,Female,Some college,White,always,1,,,,,,,,,,1,1
340,470497,59,Female,High school or less,White,sporadic,1,,,,,,,,,,1,2
341,470498,38,Female,High school or less,Hispanic,sporadic,3,,,,,,,,,,2,1
342,470499,39,Female,Some college,White,sporadic,1,,,,,,,,,,1,2
343,470501,63,Female,High school or less,White,sporadic,1,,,,,,,,,,1,1
344,470502,73,Female,College,White,always,1,,,,,,,,,,2,1
345,470503,76,Male,College,White,sporadic,1,,,,,,,,,,1,1
346,470504,78,Male,High school or less,White,sporadic,1,,,,,,,,,,3,1
347,470505,59,Male,College,Black,always,1,,,,,,,,,,3,1
348,470506,68,Female,Some college,Black,always,1,,,,,,,,,,1,1
349,470507,56,Male,College,White,always,1,,,,,,,,,,2,1
350,470508,69,Male,High school or less,White,always,1,,,,,,,,,,2,1
351,470513,59,Female,College,White,always,1,,,,,,,,,,1,2
352,470514,49,Female,Some college,Black,rarely/never,4,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,3,1
353,470515,77,Female,Some college,White,always,1,,,,,,,,,,1,1
354,470517,70,Female,College,White,always,1,,,,,,,,,,1,1
355,470518,81,Male,College,White,always,1,,,,,,,,,,1,1
356,470519,67,Female,High school or less,White,always,1,,,,,,,,,,2,2
357,470520,75,Male,College,White,always,1,,,,,,,,,,2,1
358,470521,65,Female,High school or less,White,always,1,,,,,,,,,,1,2
359,470523,68,Female,High school or less,White,rarely/never,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,2
360,470524,56,Female,College,White,sporadic,2,,,,,,,,,,1,1
361,470525,44,Female,College,White,sporadic,1,,,,,,,,,,1,2
362,470526,80,Male,Some college,White,always,1,,,,,,,,,,1,2
363,470527,78,Female,High school or less,White,always,1,,,,,,,,,,1,1
364,470528,57,Male,Some college,White,sporadic,1,,,,,,,,,,1,2
365,470529,67,Male,College,White,always,1,,,,,,,,,,2,1
366,470530,57,Male,High school or less,White,always,1,,,,,,,,,,1,1
367,470531,69,Male,Some college,White,always,1,,,,,,,,,,1,2
368,470532,65,Female,Some college,Black,sporadic,1,,,,,,,,,,2,1
369,470535,57,Male,Some college,White,always,1,,,,,,,,,,1,1
370,470536,63,Female,High school or less,White,rarely/never,1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,1
371,470540,43,Male,College,White,sporadic,1,,,,,,,,,,3,1
372,470541,67,Male,Some college,Other/Mixed,sporadic,1,,,,,,,,,,1,1
373,470542,64,Female,College,White,always,1,,,,,,,,,,1,1
374,470543,41,Female,Some college,White,sporadic,1,,,,,,,,,,2,1
